Linha ID;ID Pedido;Data do Pedido;Data do Envio;Mode de Envio;ID Vendedor;Nome do Vendedor;Segmento;Pais;Cidade;Estado;Codigo Postal;Região;Produto ID;Categoria;Sub-Categoria;Nome do Produto;Valor venda;Quantidade;Desconto;Lucro;Ano;Mes;Dia;Envio Dias;Valor Unitario;Margem
35;CA-2014-107727;2014-10-20;2014-10-24;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFF-PA-10000249;Office Supplies;Paper;Staples;29,47;3,0;20,0;9,95;2014;10;20;4;9,82;0,34
36;CA-2013-117590;2013-12-09;2013-12-11;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1097,54;7,0;20,0;123,47;2013;12;9;2;156,79;0,11
37;CA-2013-117590;2013-12-09;2013-12-11;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190,92;5,0;60,0;-147,96;2013;12;9;2;38,18;-0,78
38;CA-2012-117415;2012-12-27;2012-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113,33;9,0;20,0;35,42;2012;12;27;4;12,59;0,31
39;CA-2012-117415;2012-12-27;2012-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532,4;3,0;32,0;-46,98;2012;12;27;4;177,47;-0,09
40;CA-2012-117415;2012-12-27;2012-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212,06;3,0;30,0;-15,15;2012;12;27;4;70,69;-0,07
41;CA-2012-117415;2012-12-27;2012-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371,17;4,0;20,0;41,76;2012;12;27;4;92,79;0,11
42;CA-2014-120999;2014-09-11;2014-09-16;Standard Class;LC-16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;147,17;4,0;20,0;16,56;2014;9;11;5;36,79;0,11
43;CA-2013-101343;2013-07-18;2013-07-23;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;77,88;2,0;0,0;3,89;2013;7;18;5;38,94;0,05
44;CA-2014-139619;2014-09-20;2014-09-24;Standard Class;ES-14080;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95,62;2,0;20,0;9,56;2014;9;20;4;47,81;0,1
45;CA-2013-118255;2013-03-12;2013-03-14;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;45,98;2,0;0,0;19,77;2013;3;12;2;22,99;0,43
46;CA-2013-118255;2013-03-12;2013-03-14;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17,46;2,0;0,0;8,21;2013;3;12;2;8,73;0,47
47;CA-2011-146703;2011-10-20;2011-10-25;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211,96;4,0;0,0;8,48;2011;10;20;5;52,99;0,04
48;CA-2013-169194;2013-06-21;2013-06-26;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45,0;3,0;0,0;4,95;2013;6;21;5;15,0;0,11
49;CA-2013-169194;2013-06-21;2013-06-26;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21,8;2,0;0,0;6,1;2013;6;21;5;10,9;0,28
50;CA-2012-115742;2012-04-18;2012-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38,22;6,0;0,0;17,96;2012;4;18;4;6,37;0,47
51;CA-2012-115742;2012-04-18;2012-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;75,18;6,0;0,0;35,33;2012;4;18;4;12,53;0,47
52;CA-2012-115742;2012-04-18;2012-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;6,16;2,0;0,0;2,96;2012;4;18;4;3,08;0,48
53;CA-2012-115742;2012-04-18;2012-04-22;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;89,99;1,0;0,0;17,1;2012;4;18;4;89,99;0,19
54;CA-2013-105816;2013-12-12;2013-12-18;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15,26;7,0;0,0;6,26;2013;12;12;6;2,18;0,41
55;CA-2013-105816;2013-12-12;2013-12-18;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029,95;5,0;0,0;298,69;2013;12;12;6;205,99;0,29
56;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;208,56;6,0;0,0;52,14;2013;6;18;1;34,76;0,25
57;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;32,4;5,0;0,0;15,55;2013;6;18;1;6,48;0,48
58;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;319,41;5,0;10,0;7,1;2013;6;18;1;63,88;0,02
59;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14,56;2,0;0,0;6,99;2013;6;18;1;7,28;0,48
60;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30,0;2,0;0,0;3,3;2013;6;18;1;15,0;0,11
61;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;48,48;4,0;20,0;16,36;2013;6;18;1;12,12;0,34
62;CA-2013-111682;2013-06-18;2013-06-19;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;1,68;1,0;0,0;0,84;2013;6;18;1;1,68;0,5
63;CA-2012-135545;2012-11-24;2012-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13,98;2,0;0,0;6,15;2012;11;24;6;6,99;0,44
64;CA-2012-135545;2012-11-24;2012-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25,82;6,0;20,0;9,36;2012;11;24;6;4,3;0,36
65;CA-2012-135545;2012-11-24;2012-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;146,73;3,0;0,0;68,96;2012;11;24;6;48,91;0,47
66;CA-2012-135545;2012-11-24;2012-11-30;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79,76;4,0;0,0;22,33;2012;11;24;6;19,94;0,28
67;US-2012-164175;2012-04-30;2012-05-05;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213,11;5,0;30,0;-15,22;2012;4;30;5;42,62;-0,07
68;CA-2011-106376;2011-12-05;2011-12-10;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113,02;8,0;20,0;111,3;2011;12;5;5;139,13;0,1
69;CA-2011-106376;2011-12-05;2011-12-10;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;167,97;4,0;20,0;62,99;2011;12;5;5;41,99;0,37
70;CA-2013-119823;2013-06-05;2013-06-07;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75,88;2,0;0,0;35,66;2013;6;5;2;37,94;0,47
71;CA-2013-106075;2013-09-19;2013-09-24;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4,62;1,0;20,0;1,73;2013;9;19;5;4,62;0,38
72;CA-2014-114440;2014-09-15;2014-09-18;Second Class;TB-21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";19,05;3,0;0,0;8,76;2014;9;15;3;6,35;0,46
73;US-2012-134026;2012-04-26;2012-05-02;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;831,94;8,0;20,0;-114,39;2012;4;26;6;103,99;-0,14
74;US-2012-134026;2012-04-26;2012-05-02;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97,04;2,0;20,0;1,21;2012;4;26;6;48,52;0,01
75;US-2012-134026;2012-04-26;2012-05-02;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72,78;1,0;20,0;-18,2;2012;4;26;6;72,78;-0,25
76;US-2014-118038;2014-12-10;2014-12-12;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1,25;3,0;80,0;-1,93;2014;12;10;2;0,42;-1,55
77;US-2014-118038;2014-12-10;2014-12-12;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9,71;3,0;60,0;-5,82;2014;12;10;2;3,24;-0,6
78;US-2014-118038;2014-12-10;2014-12-12;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27,24;3,0;20,0;2,72;2014;12;10;2;9,08;0,1
79;US-2011-147606;2011-11-26;2011-12-01;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3;5,0;60,0;-14,48;2011;11;26;5;3,86;-0,75
80;CA-2013-127208;2013-06-13;2013-06-16;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208,16;1,0;0,0;56,2;2013;6;13;3;208,16;0,27
81;CA-2013-127208;2013-06-13;2013-06-16;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16,74;3,0;0,0;8,04;2013;6;13;3;5,58;0,48
82;CA-2011-139451;2011-10-12;2011-10-16;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14,9;5,0;0,0;4,17;2011;10;12;4;2,98;0,28
83;CA-2011-139451;2011-10-12;2011-10-16;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21,39;1,0;0,0;6,2;2011;10;12;4;21,39;0,29
84;CA-2012-149734;2012-09-03;2012-09-08;Standard Class;JC-16105;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200,98;7,0;20,0;62,81;2012;9;3;5;28,71;0,31
85;US-2014-119662;2014-11-14;2014-11-17;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230,38;3,0;20,0;-48,95;2014;11;14;3;76,79;-0,21
86;CA-2014-140088;2014-05-29;2014-05-31;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;29203;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301,96;2,0;0,0;33,22;2014;5;29;2;150,98;0,11
87;CA-2014-155558;2014-10-27;2014-11-03;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19,99;1,0;0,0;6,8;2014;10;27;7;19,99;0,34
88;CA-2014-155558;2014-10-27;2014-11-03;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;6,16;2,0;0,0;2,96;2014;10;27;7;3,08;0,48
89;CA-2013-159695;2013-04-06;2013-04-11;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158,37;7,0;20,0;13,86;2013;4;6;5;22,62;0,09
90;CA-2013-109806;2013-09-18;2013-09-23;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20,1;3,0;0,0;6,63;2013;9;18;5;6,7;0,33
91;CA-2013-109806;2013-09-18;2013-09-23;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73,58;2,0;20,0;8,28;2013;9;18;5;36,79;0,11
92;CA-2013-109806;2013-09-18;2013-09-23;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;6,48;1,0;0,0;3,11;2013;9;18;5;6,48;0,48
93;CA-2012-149587;2012-01-31;2012-02-05;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;12,96;2,0;0,0;6,22;2012;1;31;5;6,48;0,48
